code,name,self_employment_income_count,self_employment_income_mean,self_employment_income_median,employment_income_count,employment_income_mean,employment_income_median,pension_income_count,pension_income_mean,pension_income_median,total_income_count,total_income_mean,total_income_median,total_tax_count,total_tax_mean,total_tax_median,total_tax_amount,self_employment_income_amount,employment_income_amount,pension_income_amount,total_income_amount
E14000530,Aldershot,5000.0,20600.0,16500.0,46000.0,35100.0,28700.0,12000.0,17800.0,16400.0,56000.0,35700.0,28700.0,56000.0,5210.0,2930.0,291760000.0,103000000.0,1614600000.0,213600000.0,1999200000.0
E14000531,Aldridge-Brownhills,4000.0,23700.0,19000.0,28000.0,32500.0,25700.0,13000.0,17700.0,15800.0,40000.0,32800.0,25200.0,40000.0,4530.0,2310.0,181200000.0,94800000.0,910000000.0,230100000.0,1312000000.0
E14000532,Altrincham and Sale West,5000.0,48100.0,16900.0,40000.0,54000.0,31700.0,14000.0,23300.0,18100.0,53000.0,60000.0,35000.0,53000.0,14100.0,3810.0,747300000.0,240500000.0,2160000000.0,326200000.0,3180000000.0
E14000533,Amber Valley,4000.0,18900.0,14300.0,36000.0,28700.0,24200.0,11000.0,17900.0,16800.0,46000.0,30200.0,24900.0,46000.0,3680.0,2230.0,169280000.0,75600000.0,1033200000.0,196900000.0,1389200000.0
E14000534,Arundel and South Downs,8000.0,31700.0,19000.0,35000.0,42100.0,27100.0,21000.0,25500.0,20300.0,56000.0,47600.0,30400.0,56000.0,9440.0,3090.0,528640000.0,253600000.0,1473500000.0,535500000.0,2665600000.0
E14000535,Ashfield,4000.0,21800.0,19200.0,38000.0,27500.0,23800.0,15000.0,15300.0,15300.0,51000.0,27900.0,23600.0,51000.0,3160.0,2020.0,161160000.0,87200000.0,1045000000.0,229500000.0,1422900000.0
E14000536,Ashford,9000.0,29700.0,18600.0,49000.0,34600.0,25800.0,18000.0,20500.0,17100.0,67000.0,38000.0,27100.0,67000.0,6250.0,2610.0,418750000.0,267300000.0,1695400000.0,369000000.0,2546000000.0
E14000537,Ashton-under-Lyne,3000.0,21800.0,15900.0,32000.0,27300.0,22800.0,10000.0,14900.0,14100.0,40000.0,28500.0,23100.0,40000.0,3260.0,1970.0,130400000.0,65400000.0,873600000.0,149000000.0,1140000000.0
E14000538,Aylesbury,8000.0,25100.0,17600.0,52000.0,37200.0,29000.0,16000.0,21600.0,17400.0,67000.0,39800.0,29800.0,67000.0,6720.0,3130.0,450240000.0,200800000.0,1934400000.0,345600000.0,2666600000.0
E14000539,Banbury,7000.0,29700.0,13200.0,59000.0,35400.0,27400.0,15000.0,20400.0,17100.0,73000.0,39000.0,28500.0,73000.0,6460.0,2830.0,471580000.0,207900000.0,2088600000.0,306000000.0,2847000000.0
