code,name,self_employment_income_count,self_employment_income_mean,self_employment_income_median,employment_income_count,employment_income_mean,employment_income_median,pension_income_count,pension_income_mean,pension_income_median,total_income_count,total_income_mean,total_income_median,total_tax_count,total_tax_mean,total_tax_median,total_tax_amount
E12000001,North East,93,"22,300","15,000",929,"30,200","24,700",366,"18,400","16,300","1,230","31,500","24,900","1,230","4,110","2,230","5,060"
E12000002,North West,303,"22,900","15,700","2,690","32,000","25,000",925,"18,900","16,500","3,490","34,000","25,700","3,490","4,930","2,360","17,200"
E12000003,Yorkshire and the Humber,235,"22,900","15,400","1,940","30,900","24,700",696,"18,700","16,500","2,550","33,000","25,300","2,550","4,590","2,300","11,700"
E12000004,East Midlands,223,"23,500","16,400","1,810","31,700","25,000",643,"18,900","16,500","2,380","33,800","25,800","2,380","4,850","2,370","11,500"
E12000005,West Midlands,260,"22,800","16,100","2,100","31,600","25,100",734,"18,600","16,400","2,760","33,600","25,500","2,760","4,800","2,340","13,200"
E12000006,East of England,382,"28,500","17,200","2,410","38,300","27,700",851,"20,300","17,100","3,240","40,900","28,400","3,240","7,260","2,790","23,500"
E12000007,London,612,"51,000","17,900","3,500","52,700","32,000",638,"21,300","16,900","4,310","58,300","32,900","4,310","13,800","3,650","59,300"
E12000008,South East,563,"31,300","17,000","3,570","41,900","28,300","1,310","22,100","17,800","4,830","44,700","29,700","4,830","8,580","3,010","41,400"
E12000009,South West,358,"23,400","15,600","2,080","32,000","25,100",891,"20,200","17,000","2,900","35,300","26,400","2,900","5,290","2,470","15,300"
E14000530,Aldershot,5,"20,600","16,500",46,"35,100","28,700",12,"17,800","16,400",56,"35,700","28,700",56,"5,210","2,930",294
E14000531,Aldridge-Brownhills,4,"23,700","19,000",28,"32,500","25,700",13,"17,700","15,800",40,"32,800","25,200",40,"4,530","2,310",180
E14000532,Altrincham and Sale West,5,"48,100","16,900",40,"54,000","31,700",14,"23,300","18,100",53,"60,000","35,000",53,"14,100","3,810",744
E14000533,Amber Valley,4,"18,900","14,300",36,"28,700","24,200",11,"17,900","16,800",46,"30,200","24,900",46,"3,680","2,230",168
E14000534,Arundel and South Downs,8,"31,700","19,000",35,"42,100","27,100",21,"25,500","20,300",56,"47,600","30,400",56,"9,440","3,090",533
E14000535,Ashfield,4,"21,800","19,200",38,"27,500","23,800",15,"15,300","15,300",51,"27,900","23,600",51,"3,160","2,020",160
E14000536,Ashford,9,"29,700","18,600",49,"34,600","25,800",18,"20,500","17,100",67,"38,000","27,100",67,"6,250","2,610",416
E14000537,Ashton-under-Lyne,3,"21,800","15,900",32,"27,300","22,800",10,"14,900","14,100",40,"28,500","23,100",40,"3,260","1,970",129
E14000538,Aylesbury,8,"25,100","17,600",52,"37,200","29,000",16,"21,600","17,400",67,"39,800","29,800",67,"6,720","3,130",452
E14000539,Banbury,7,"29,700","13,200",59,"35,400","27,400",15,"20,400","17,100",73,"39,000","28,500",73,"6,460","2,830",474
E14000540,Barking,11,"21,400","19,200",47,"30,500","27,200",5,"12,600","13,500",58,"31,300","27,300",58,"3,800","2,740",220
E14000541,Barnsley Central,4,"20,900","17,900",34,"27,900","23,900",13,"17,900","17,000",46,"28,100","23,400",46,"3,180","2,060",147
E14000542,Barnsley East,4,"19,900","15,500",34,"30,200","23,700",12,"16,100","15,900",45,"30,300","23,900",45,"4,180","2,060",188
E14000543,Barrow and Furness,3,"16,200","13,200",34,"31,400","26,200",13,"17,400","17,000",45,"32,400","25,700",45,"4,180","2,390",187
E14000544,Basildon and Billericay,6,"27,700","18,000",34,"40,700","27,300",9,"19,300","15,800",44,"42,300","29,700",44,"7,760","2,900",343
E14000545,Basingstoke,6,"19,900","14,500",53,"38,400","30,100",15,"18,600","16,600",66,"38,100","29,900",66,"6,060","3,130",399
E14000546,Bassetlaw,5,"20,200","14,200",40,"30,700","24,300",17,"17,300","16,000",54,"32,000","24,800",54,"4,320","2,160",233
