code,name,self_employment_income_count,self_employment_income_mean,self_employment_income_median,employment_income_count,employment_income_mean,employment_income_median,pension_income_count,pension_income_mean,pension_income_median,total_income_count,total_income_mean,total_income_median,total_tax_count,total_tax_mean,total_tax_median,total_tax_amount,self_employment_income_amount,employment_income_amount,pension_income_amount,total_income_amount
E06000001,Hartlepool UA,3000.0,22600.0,16300.0,31000.0,29600.0,24300.0,11000.0,18300.0,16000.0,41000.0,30700.0,24700.0,41000.0,3790.0,2150.0,155390000.0,67800000.0,917600000.0,201300000.0,1258700000.0
E06000002,Middlesbrough UA,4000.0,18300.0,14300.0,48000.0,28700.0,22900.0,15000.0,18400.0,15100.0,60000.0,30200.0,23800.0,60000.0,3730.0,2000.0,223800000.0,73200000.0,1377600000.0,276000000.0,1812000000.0
E06000003,Redcar and Cleveland UA,4000.0,19500.0,15200.0,46000.0,29300.0,25000.0,22000.0,17300.0,16500.0,65000.0,29000.0,23800.0,65000.0,3370.0,2020.0,219050000.0,78000000.0,1347800000.0,380600000.0,1885000000.0
E06000004,Stockton-on-Tees UA,6000.0,24800.0,15700.0,71000.0,31800.0,25100.0,25000.0,19200.0,16800.0,91000.0,33400.0,26000.0,91000.0,4600.0,2410.0,418600000.0,148800000.0,2257800000.0,480000000.0,3039400000.0
E06000005,Darlington UA,4000.0,17500.0,13200.0,41000.0,30200.0,24100.0,15000.0,19000.0,17000.0,52000.0,31800.0,25300.0,52000.0,4170.0,2290.0,216840000.0,70000000.0,1238200000.0,285000000.0,1653600000.0
E06000006,Halton UA,4000.0,19700.0,15200.0,48000.0,30400.0,25100.0,16000.0,17200.0,15300.0,61000.0,31500.0,25300.0,61000.0,4120.0,2310.0,251320000.0,78800000.0,1459200000.0,275200000.0,1921500000.0
E06000007,Warrington UA,9000.0,24500.0,15800.0,90000.0,34700.0,26500.0,30000.0,20000.0,18100.0,116000.0,36600.0,26900.0,116000.0,5710.0,2590.0,662360000.0,220500000.0,3123000000.0,600000000.0,4245600000.0
E06000008,Blackburn with Darwen UA,4000.0,21000.0,14200.0,52000.0,27900.0,23400.0,13000.0,16900.0,15400.0,63000.0,30000.0,23900.0,63000.0,3690.0,2080.0,232470000.0,84000000.0,1450800000.0,219700000.0,1890000000.0
E06000009,Blackpool UA,5000.0,16300.0,14100.0,46000.0,24900.0,21600.0,16000.0,16600.0,15900.0,60000.0,25900.0,21900.0,60000.0,2600.0,1640.0,156000000.0,81500000.0,1145400000.0,265600000.0,1554000000.0
E06000010,Kingston upon Hull UA,8000.0,16200.0,13700.0,95000.0,25900.0,22800.0,23000.0,15500.0,14700.0,113000.0,26900.0,22900.0,113000.0,2780.0,1880.0,314140000.0,129600000.0,2460500000.0,356500000.0,3039700000.0
E06000011,East Riding of Yorkshire UA,17000.0,22900.0,15600.0,128000.0,31600.0,24900.0,66000.0,19000.0,16700.0,180000.0,34300.0,25900.0,180000.0,4990.0,2380.0,898200000.0,389300000.0,4044800000.0,1254000000.0,6174000000.0
E06000012,North East Lincolnshire UA,4000.0,22600.0,14100.0,57000.0,29100.0,23600.0,17000.0,17500.0,15600.0,70000.0,31100.0,24700.0,70000.0,3990.0,2130.0,279300000.0,90400000.0,1658700000.0,297500000.0,2177000000.0
E06000013,North Lincolnshire UA,6000.0,18800.0,14400.0,66000.0,29700.0,24900.0,21000.0,18000.0,16400.0,83000.0,30800.0,25200.0,83000.0,3890.0,2280.0,322870000.0,112800000.0,1960200000.0,378000000.0,2556400000.0
E06000014,York UA,10000.0,24500.0,16600.0,73000.0,34500.0,26800.0,32000.0,20300.0,17600.0,102000.0,36200.0,27200.0,102000.0,5560.0,2560.0,567120000.0,245000000.0,2518500000.0,649600000.0,3692400000.0
E06000015,Derby UA,8000.0,19200.0,14700.0,91000.0,30500.0,24900.0,28000.0,17100.0,15700.0,115000.0,30800.0,24800.0,115000.0,3900.0,2170.0,448500000.0,153600000.0,2775500000.0,478800000.0,3542000000.0
E06000016,Leicester UA,10000.0,18200.0,15700.0,115000.0,26300.0,22100.0,21000.0,16700.0,15400.0,135000.0,27700.0,22700.0,135000.0,3090.0,1830.0,417150000.0,182000000.0,3024500000.0,350700000.0,3739500000.0
E06000017,Rutland UA,2000.0,36300.0,16600.0,14000.0,38700.0,25800.0,8000.0,22000.0,16500.0,20000.0,48700.0,30200.0,20000.0,10000.0,2710.0,200000000.0,72600000.0,541800000.0,176000000.0,974000000.0
E06000018,Nottingham UA,10000.0,20300.0,15000.0,95000.0,28000.0,23500.0,20000.0,18100.0,15800.0,114000.0,29700.0,24000.0,114000.0,3680.0,2080.0,419520000.0,203000000.0,2660000000.0,362000000.0,3385800000.0
E06000019,Herefordshire UA,13000.0,22700.0,16900.0,64000.0,29900.0,25100.0,35000.0,20200.0,17800.0,96000.0,33700.0,26200.0,96000.0,4760.0,2400.0,456960000.0,295100000.0,1913600000.0,707000000.0,3235200000.0
E06000020,Telford and Wrekin UA,8000.0,18000.0,15000.0,71000.0,29900.0,25100.0,23000.0,17300.0,16700.0,91000.0,30700.0,24800.0,91000.0,3870.0,2220.0,352170000.0,144000000.0,2122900000.0,397900000.0,2793700000.0
E06000021,Stoke-on-Trent UA,8000.0,20200.0,16400.0,89000.0,26100.0,23600.0,26000.0,14600.0,15000.0,110000.0,26800.0,23300.0,110000.0,2890.0,1960.0,317900000.0,161600000.0,2322900000.0,379600000.0,2948000000.0
E06000022,Bath and North East Somerset UA,13000.0,29900.0,16400.0,72000.0,37400.0,27000.0,28000.0,21500.0,17600.0,99000.0,41800.0,28700.0,99000.0,7430.0,2750.0,735570000.0,388700000.0,2692800000.0,602000000.0,4138200000.0
E06000023,Bristol UA,27000.0,24700.0,15800.0,185000.0,33500.0,26800.0,40000.0,19200.0,16300.0,227000.0,36500.0,27800.0,227000.0,5600.0,2720.0,1271200000.0,666900000.0,6197500000.0,768000000.0,8285500000.0
E06000024,North Somerset UA,12000.0,23200.0,14600.0,86000.0,33800.0,26000.0,37000.0,21100.0,17700.0,120000.0,36700.0,27600.0,120000.0,5630.0,2670.0,675600000.0,278400000.0,2906800000.0,780700000.0,4404000000.0
E06000025,South Gloucestershire UA,16000.0,22600.0,16500.0,120000.0,33900.0,27900.0,40000.0,19600.0,17700.0,156000.0,36700.0,28600.0,156000.0,5550.0,2810.0,865800000.0,361600000.0,4068000000.0,784000000.0,5725200000.0
E06000026,Plymouth UA,11000.0,20600.0,16200.0,99000.0,28600.0,24000.0,38000.0,17900.0,16600.0,131000.0,29700.0,24000.0,131000.0,3500.0,2050.0,458500000.0,226600000.0,2831400000.0,680200000.0,3890700000.0
