code,name,self_employment_income_count,self_employment_income_mean,self_employment_income_median,employment_income_count,employment_income_mean,employment_income_median,pension_income_count,pension_income_mean,pension_income_median,total_income_count,total_income_mean,total_income_median,total_tax_count,total_tax_mean,total_tax_median,total_tax_amount
E12000001,North East,93,"22,300","15,000",929,"30,200","24,700",366,"18,400","16,300","1,230","31,500","24,900","1,230","4,110","2,230","5,060"
E06000047,County Durham UA,19,"20,400","15,100",182,"29,500","24,400",79,"18,200","16,400",249,"30,300","24,300",249,"3,730","2,130",928
E06000005,Darlington UA,4,"17,500","13,200",41,"30,200","24,100",15,"19,000","17,000",52,"31,800","25,300",52,"4,170","2,290",218
E06000001,Hartlepool UA,3,"22,600","16,300",31,"29,600","24,300",11,"18,300","16,000",41,"30,700","24,700",41,"3,790","2,150",155
E06000002,Middlesbrough UA,4,"18,300","14,300",48,"28,700","22,900",15,"18,400","15,100",60,"30,200","23,800",60,"3,730","2,000",222
E06000057,Northumberland UA,17,"24,500","15,300",114,"30,700","24,600",63,"19,500","16,400",168,"33,400","25,300",168,"4,820","2,300",807
E06000003,Redcar and Cleveland UA,4,"19,500","15,200",46,"29,300","25,000",22,"17,300","16,500",65,"29,000","23,800",65,"3,370","2,020",217
E06000004,Stockton-on-Tees UA,6,"24,800","15,700",71,"31,800","25,100",25,"19,200","16,800",91,"33,400","26,000",91,"4,600","2,410",418
E11000007,Tyne & Wear Metropolitan County,35,"23,200","14,800",396,"30,500","25,000",136,"18,000","16,200",508,"31,700","25,200",508,"4,120","2,290","2,090"
E08000037,Gateshead,5,"21,900","15,900",75,"30,000","25,600",25,"17,400","15,900",95,"30,600","25,300",95,"3,770","2,300",357
E08000021,Newcastle upon Tyne,10,"28,200","14,800",93,"32,900","24,900",27,"20,000","17,400",118,"35,400","25,700",118,"5,320","2,380",626
E08000022,North Tyneside,8,"22,700","14,700",80,"31,500","25,900",29,"20,000","17,900",104,"32,600","25,900",104,"4,320","2,470",451
E08000023,South Tyneside,5,"19,900","15,300",51,"29,900","25,300",18,"16,700","15,200",66,"30,700","25,500",66,"3,740","2,380",246
E08000024,Sunderland,8,"20,200","14,300",97,"27,800","24,300",38,"15,900","15,200",125,"28,700","23,900",125,"3,310","2,100",414
E12000002,North West,303,"22,900","15,700","2,690","32,000","25,000",925,"18,900","16,500","3,490","34,000","25,700","3,490","4,930","2,360","17,200"
E06000008,Blackburn with Darwen UA,4,"21,000","14,200",52,"27,900","23,400",13,"16,900","15,400",63,"30,000","23,900",63,"3,690","2,080",232
E06000009,Blackpool UA,5,"16,300","14,100",46,"24,900","21,600",16,"16,600","15,900",60,"25,900","21,900",60,"2,600","1,640",156
E06000049,Cheshire East UA,23,"26,700","15,900",159,"43,100","26,900",70,"22,500","17,700",221,"45,800","28,900",221,"9,340","2,860","2,060"
E06000050,Cheshire West and Chester UA,15,"25,000","14,800",133,"35,300","26,800",53,"21,500","18,400",179,"37,900","27,600",179,"6,140","2,700","1,100"
